                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5564,                 2.5081,                 1.3326,                 1.4686,                 6.7207,                 1.2141,                0.73101,                0.55647,                0.66606,                0.33077,                 1.4985,                 2.4509,                 1.2892,                 1.4986,                 7.4586,                  1.234,             0.00066116,             0.00066116,             0.00066116
                      2,                 1.5453,                  1.695,                 1.2952,                 1.5742,                 3.9427,                 1.2453,                0.66405,                0.60714,                0.61887,                0.35876,                 1.5112,                 1.9435,                 1.3629,                 1.4572,                  3.985,                 1.3043,              0.0013147,              0.0013147,              0.0013147
                      3,                 1.5907,                 1.3675,                 1.3448,                 1.6291,                 2.3657,                 1.2992,                0.40906,                0.37248,                0.32246,                 0.1393,                 1.8098,                 2.1151,                  1.674,                 1.8387,                 3.0293,                 1.5499,               0.001955,               0.001955,               0.001955
                      4,                 1.5773,                 1.2742,                 1.3473,                 1.6577,                 1.7928,                 1.3045,                0.68274,                0.65585,                0.69026,                0.35629,                 1.5218,                 1.4488,                  1.365,                 1.6547,                 1.7796,                 1.3115,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5219,                 1.1123,                  1.316,                 1.6251,                 1.4398,                 1.2871,                 0.7333,                0.73095,                0.76198,                0.41089,                 1.5438,                 1.1746,                    1.4,                 1.6323,                 1.4324,                 1.3376,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5014,                 1.0642,                 1.3025,                 1.5984,                 1.3263,                  1.265,                0.81654,                0.72857,                0.79924,                0.45223,                 1.4501,                 1.0379,                 1.3105,                 1.5394,                 1.2188,                 1.2474,              0.0019208,              0.0019208,              0.0019208
                      7,                  1.449,                0.97653,                 1.2786,                 1.5598,                 1.1718,                 1.2512,                 0.8065,                0.74524,                0.83832,                0.48693,                 1.3701,                 1.0329,                 1.2614,                 1.4462,                 1.1281,                 1.2161,               0.001901,               0.001901,               0.001901
                      8,                 1.4014,                0.94321,                 1.2501,                 1.4981,                 1.1237,                 1.2266,                0.78466,                 0.7881,                0.83773,                0.45541,                 1.4776,                0.91438,                 1.3553,                 1.5528,                 1.0155,                 1.2801,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4204,                0.93547,                 1.2581,                 1.5224,                  1.129,                 1.2317,                0.79315,                 0.7669,                0.80284,                0.39977,                 1.6089,                 1.1471,                 1.3994,                 1.6904,                 1.3086,                 1.3621,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4111,                0.91331,                 1.2381,                 1.5128,                 1.0445,                 1.2252,                0.79595,                0.82381,                0.85604,                0.46538,                   1.49,                0.93108,                 1.3305,                 1.5484,                0.98235,                 1.2963,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3728,                0.86389,                 1.2243,                 1.5013,                0.95715,                 1.2126,                0.81597,                  0.834,                0.85442,                0.46523,                 1.4486,                0.89333,                 1.2809,                 1.5529,                0.92464,                 1.2504,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3715,                  0.873,                 1.2167,                 1.5002,                0.98058,                 1.2123,                0.85607,                    0.8,                0.87844,                0.51738,                 1.3221,                0.80231,                 1.2517,                 1.3821,                0.90239,                 1.2267,               0.001802,               0.001802,               0.001802
                     13,                 1.3456,                0.83502,                 1.2295,                 1.4559,                0.93572,                 1.2139,                0.81863,                0.79524,                0.86875,                 0.5223,                 1.3435,                0.83499,                 1.2669,                 1.3626,                0.90728,                 1.1948,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.3421,                0.83361,                 1.2145,                 1.4406,                0.94613,                 1.1946,                0.84086,                0.82143,                0.88142,                0.54503,                 1.3082,                0.76072,                 1.2569,                 1.3737,                0.81044,                 1.2298,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3324,                0.80367,                 1.2115,                 1.4236,                0.89795,                 1.1901,                0.82946,                 0.8381,                0.88353,                0.54469,                 1.2981,                 0.7415,                 1.2467,                 1.2981,                0.84568,                 1.2008,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3552,                0.78267,                 1.2277,                 1.4397,                 0.8833,                 1.2015,                0.90205,                 0.7881,                0.90219,                0.56905,                 1.2877,                 0.7159,                 1.2141,                 1.3069,                0.78084,                  1.173,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.3171,                0.79034,                 1.2163,                 1.4258,                0.88037,                 1.1967,                0.83085,                0.83038,                0.88595,                0.56178,                  1.262,                0.69839,                 1.1874,                 1.2759,                0.79063,                 1.1652,               0.001703,               0.001703,               0.001703
                     18,                 1.2901,                0.75743,                 1.1866,                 1.3933,                0.82963,                 1.1664,                0.86197,                0.83333,                0.90287,                0.56727,                 1.2555,                0.69306,                 1.1945,                 1.3065,                 0.7116,                 1.1633,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2984,                0.79175,                 1.2078,                 1.3899,                0.84286,                 1.1862,                0.86149,                0.84762,                0.89909,                0.53481,                 1.3552,                0.73236,                 1.2674,                 1.3677,                0.75362,                 1.2116,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2752,                0.74352,                 1.1833,                 1.3768,                0.80419,                 1.1609,                0.82034,                0.84762,                0.88581,                0.55544,                 1.3184,                0.73368,                 1.2497,                 1.2787,                0.81544,                 1.1449,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2388,                0.73044,                 1.1645,                 1.3475,                0.81808,                 1.1347,                0.87703,                0.84286,                0.91272,                0.56795,                 1.2375,                0.71905,                 1.2057,                  1.272,                 0.7229,                 1.1477,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.2361,                0.72017,                 1.1681,                  1.344,                0.76369,                 1.1504,                0.89462,                0.86915,                0.92283,                0.59186,                 1.2521,                 0.6324,                 1.2145,                 1.2839,                0.64785,                 1.1677,               0.001604,               0.001604,               0.001604
                     23,                 1.2689,                0.72696,                 1.1795,                 1.3626,                0.76848,                   1.15,                0.89442,                0.84762,                 0.9206,                0.57254,                 1.2526,                0.67046,                 1.2119,                 1.2804,                0.70212,                 1.1609,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.2401,                0.69666,                 1.1723,                 1.3463,                 0.7189,                 1.1553,                0.90797,                0.86914,                0.93695,                  0.592,                 1.2136,                0.68128,                 1.1686,                 1.2922,                0.67725,                 1.1465,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.2597,                0.70014,                 1.1772,                  1.365,                0.71668,                 1.1486,                0.90043,                0.86125,                0.92913,                0.57483,                 1.3119,                0.64275,                 1.2103,                  1.392,                0.62235,                 1.1746,              0.0015446,              0.0015446,              0.0015446
                     26,                  1.248,                0.70608,                 1.1607,                 1.3518,                0.72238,                 1.1381,                0.89011,                0.88095,                0.91949,                0.52928,                 1.4149,                0.69957,                  1.295,                 1.4801,                 0.6966,                 1.2343,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.2147,                0.69561,                 1.1636,                 1.3179,                0.70919,                  1.142,                 0.9138,                0.89762,                0.94544,                0.61023,                 1.1982,                0.62431,                 1.1725,                 1.2365,                0.59289,                 1.1133,               0.001505,               0.001505,               0.001505
                     28,                 1.2119,                0.68624,                 1.1565,                 1.3177,                0.71289,                 1.1217,                0.85553,                0.86905,                0.90645,                0.51936,                 1.3907,                0.68637,                 1.3085,                 1.4429,                0.74358,                 1.2188,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.1869,                0.67597,                  1.149,                 1.2889,                0.69603,                 1.1218,                0.91957,                0.87111,                0.93385,                0.60169,                 1.1893,                0.63895,                 1.1511,                 1.2395,                0.59742,                 1.1157,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.2008,                0.68953,                 1.1482,                 1.3168,                0.70189,                  1.126,                0.88606,                0.89286,                0.91325,                0.58253,                 1.2346,                0.66945,                 1.1927,                 1.3126,                0.64349,                 1.1457,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.1864,                0.67053,                 1.1511,                 1.2965,                0.67306,                 1.1208,                0.93328,                0.89927,                0.94759,                0.62016,                 1.1648,                0.59818,                 1.1606,                 1.2293,                0.56096,                 1.1083,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.1677,                 0.6567,                 1.1463,                  1.278,                0.68953,                 1.1216,                0.92602,                0.89406,                 0.9448,                 0.6064,                 1.1804,                0.60747,                 1.1719,                 1.2225,                0.57408,                 1.1283,               0.001406,               0.001406,               0.001406
                     33,                 1.1769,                0.66529,                 1.1403,                 1.2899,                0.68684,                 1.1098,                0.90304,                0.88699,                0.93738,                0.61235,                 1.1746,                0.59596,                 1.1849,                 1.2176,                0.59967,                 1.1187,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.1392,                0.63328,                 1.1197,                 1.2446,                0.64205,                 1.0958,                0.90312,                0.88786,                0.93288,                0.58968,                 1.2081,                0.62055,                 1.2032,                 1.2679,                0.58899,                 1.1685,              0.0013664,              0.0013664,              0.0013664
